產業分類,股票代碼,股票名稱,領域分類,公司特色
特殊應用積體電路ASIC,2363,矽統,IC設計,"觸控IC,聯電集團,ASIC晶片布局"
特殊應用積體電路ASIC,2388,威盛,IC設計,"x86處理器授權,PC晶片組,物聯網平台"
特殊應用積體電路ASIC,2401,凌陽,IC設計,"消費性IC,多媒體SoC,家電MCU"
特殊應用積體電路ASIC,2454,聯發科,IC設計,"全球第五大IC設計,手機晶片龍頭,AI/車用ASIC布局,天璣/Dimensity處理器"
特殊應用積體電路ASIC,3034,聯詠,IC設計,"顯示驅動IC全球第一,TV/NB/手機DDI,切入ASIC/車用市場"
特殊應用積體電路ASIC,3035,智原,IC設計服務,"車用ASIC專家,聯電集團,Arm車用生態系,矽智財IP供應"
特殊應用積體電路ASIC,3443,創意,IC設計服務,"台積電子公司,Turn-Key一條龍服務,微軟Maia/Google TPU協力,CoWoS先進封裝"
特殊應用積體電路ASIC,3661,世芯-KY,IC設計服務,"ASIC設計龍頭,Amazon Trainium/Inferentia主力,聯發科/Amazon入股,HPC占營收97%"
特殊應用積體電路ASIC,6695,芯鼎,IC設計,"神盾子公司芯鼎,AI影像辨識晶片,日本AI客戶ASIC訂單"
特殊應用積體電路ASIC,8054,安國,IC設計,"快閃記憶體控制IC,USB/SD卡控制器"
先進封裝CoWoS3DIC,1560,中砂,材料,"高純石英,CoWoS用石英基板,半導體石英耗材"
先進封裝CoWoS3DIC,1711,永光,材料,"光阻劑,電子化學品,半導體製程材料"
先進封裝CoWoS3DIC,1717,長興,材料,"環氧樹脂,電子化學品,PCB樹脂"
先進封裝CoWoS3DIC,2308,台達電,電源,"電源/散熱方案龍頭,AI伺服器電源供應,資料中心基礎設施"
先進封裝CoWoS3DIC,2316,楠梓電,晶圓代工,"DRAM製造,記憶體模組"
先進封裝CoWoS3DIC,2330,台積電,晶圓代工,"全球晶圓代工龍頭,先進製程3/5/7nm,CoWoS/SoIC先進封裝領導者,AI晶片主力"
先進封裝CoWoS3DIC,2360,致茂,設備,"電源/電池測試設備,半導體測試系統,電動車測試"
先進封裝CoWoS3DIC,2395,研華,工業電腦,"工業電腦龍頭,邊緣運算,AIoT平台,智慧製造"
先進封裝CoWoS3DIC,2449,京元電子,測試,"晶圓測試,記憶體/邏輯IC測試,AI晶片測試"
先進封裝CoWoS3DIC,2467,志聖,設備,"晶圓清洗設備,CoWoS製程關鍵設備"
先進封裝CoWoS3DIC,3037,欣興,IC載板,"ABF載板龍頭,CoWoS基板,AI伺服器/GPU載板主力,市占率40%+"
先進封裝CoWoS3DIC,3131,弘塑,材料,"EMC封裝材料,ABF前驅材料"
先進封裝CoWoS3DIC,3374,精材,材料,"軟硬結合板,高頻材料,CoWoS基板材料"
先進封裝CoWoS3DIC,3455,由田,設備,"光罩檢測設備,先進製程檢測"
先進封裝CoWoS3DIC,3563,牧德,設備,"AOI光學檢測,PCB/面板檢測,AI影像辨識"
先進封裝CoWoS3DIC,3583,辛耘,設備,"晶圓再生設備,環保再生處理"
先進封裝CoWoS3DIC,3680,家登,設備,"晶圓承載盒,FOUP晶圓傳送盒,潔淨度關鍵"
先進封裝CoWoS3DIC,3711,日月光投控,封測,"封測雙雄,SiP系統級封裝,Fan-out/CoWoS,蘋果/AMD主力供應商"
先進封裝CoWoS3DIC,5443,均豪,設備,"自動化設備,半導體組裝"
先進封裝CoWoS3DIC,6187,萬潤,材料,"銅箔基板樹脂,環氧樹脂"
先進封裝CoWoS3DIC,6207,雷科,設備,"光學檢測設備,AOI"
先進封裝CoWoS3DIC,6223,旺矽,設備,"矽晶圓再生,研磨拋光"
先進封裝CoWoS3DIC,6515,穎崴,設備,"探針卡,晶圓測試介面,先進製程探針"
先進封裝CoWoS3DIC,6640,均華,設備,半導體自動化設備
先進封裝CoWoS3DIC,6664,群翊,設備,IC檢測設備
先進封裝CoWoS3DIC,8027,鈦昇,設備,"晶圓切割設備,雷射切割"
AI伺服器與資料中心,1815,富喬,材料,"玻纖布,AI伺服器高階玻纖布,LDK Q材料"
AI伺服器與資料中心,2059,川湖,機構,"滑軌鉸鏈,伺服器機構"
AI伺服器與資料中心,2301,光寶科,電源,"電源供應器,散熱風扇,AI伺服器電源"
AI伺服器與資料中心,2308,台達電,電源,"電源/散熱方案龍頭,AI伺服器電源供應,資料中心基礎設施"
AI伺服器與資料中心,2317,鴻海,組裝,"全球電子代工龍頭,GB200 AI伺服器主力組裝,蘋果/Dell/HP供應商"
AI伺服器與資料中心,2330,台積電,晶圓代工,"全球晶圓代工龍頭,先進製程3/5/7nm,CoWoS/SoIC先進封裝領導者,AI晶片主力"
AI伺服器與資料中心,2354,鴻準,機構,"精密機構件,iPhone機殼,AI伺服器機構,散熱模組"
AI伺服器與資料中心,2356,英業達,組裝,"伺服器ODM,雲端客戶,AI運算伺服器"
AI伺服器與資料中心,2368,金像電,連接器,"連接器製造,伺服器連接器"
AI伺服器與資料中心,2376,技嘉,主板,"主機板龍頭,AI伺服器主板,電競主板"
AI伺服器與資料中心,2382,廣達,組裝,"AI伺服器組裝龍頭,Google/Meta/Microsoft主力,雲端CSP客戶"
AI伺服器與資料中心,2383,台光電,PCB材料,"全球最大無鹵素CCL廠,AI伺服器M8/M9高階材料龍頭,Nvidia/AWS獨家供應,市占率80%+"
AI伺服器與資料中心,2392,正崴,連接器,"連接器/線材,伺服器高速連接"
AI伺服器與資料中心,2421,建準,散熱,"散熱風扇龍頭,伺服器散熱,直流風扇"
AI伺服器與資料中心,3017,奇鋐,機構,散熱模組機構件
AI伺服器與資料中心,3037,欣興,IC載板,"ABF載板龍頭,CoWoS基板,AI伺服器/GPU載板主力,市占率40%+"
AI伺服器與資料中心,3081,聯亞,PCB,"HDI高階PCB,伺服器PCB"
AI伺服器與資料中心,3090,日電貿,代理,半導體代理商
AI伺服器與資料中心,3163,波若威,散熱,"散熱模組,VC均熱板"
AI伺服器與資料中心,3211,順達,機構,"金屬機構件,伺服器機殼"
AI伺服器與資料中心,3231,緯創,組裝,"伺服器ODM,Dell/Lenovo/HP供應商"
AI伺服器與資料中心,3324,雙鴻,散熱,"散熱模組雙雄,AI伺服器液冷/氣冷,Nvidia/Intel認證"
AI伺服器與資料中心,3363,上詮,連接器,"連接器製造,伺服器/網通設備用"
AI伺服器與資料中心,3533,嘉澤,連接器,連接器組裝
AI伺服器與資料中心,3625,西勝,PCB,PCB製造
AI伺服器與資料中心,3665,貿聯-KY,連接器,"高速傳輸線材,AI伺服器線纜,800G線材"
AI伺服器與資料中心,3711,日月光投控,封測,"封測雙雄,SiP系統級封裝,Fan-out/CoWoS,蘋果/AMD主力供應商"
AI伺服器與資料中心,4931,新盛力,機構,精密機構件
AI伺服器與資料中心,5309,系統電,電源,電源供應器
AI伺服器與資料中心,6121,新普,電池,"電池模組,UPS不斷電系統,資料中心備援"
AI伺服器與資料中心,6197,佳必琪,機構,機構組裝
AI伺服器與資料中心,6274,台燿,PCB,"HDI/類載板,AI伺服器PCB"
AI伺服器與資料中心,6558,興能高,電源,伺服器電源供應
AI伺服器與資料中心,6584,南俊國際,機構,機構組裝
AI伺服器與資料中心,6669,緯穎,組裝,"AI伺服器專業廠,GB200組裝,CSP客戶"
AI伺服器與資料中心,6781,AES-KY,電源,"伺服器電源供應器,高效率電源,資料中心"
AI伺服器與資料中心,6805,富世達,機構,機構組裝
AI伺服器與資料中心,8104,錸寶,PCB,FPC軟板
AI伺服器與資料中心,8210,勤誠,機構,散熱模組
AI伺服器與資料中心,8996,高力,散熱,散熱模組
IC載板,3037,欣興,IC載板,"ABF載板龍頭,CoWoS基板,AI伺服器/GPU載板主力,市占率40%+"
IC載板,3189,景碩,IC載板,"FC-BGA載板,ABF載板,AI/HPC載板"
IC載板,4958,臻鼎-KY,IC載板,"HDI/類載板龍頭,SLP超薄類載板,iPhone供應商"
IC載板,8046,南電,IC載板,"IC載板,ABF載板,記憶體載板"
功率半導體,2241,艾姆勒,設備,半導體蝕刻設備
功率半導體,2303,聯電,晶圓代工,"8吋晶圓代工,特殊製程,驅動IC/功率IC"
功率半導體,2330,台積電,晶圓代工,"全球晶圓代工龍頭,先進製程3/5/7nm,CoWoS/SoIC先進封裝領導者,AI晶片主力"
功率半導體,2342,茂矽,晶圓代工,"功率半導體晶圓代工,化合物半導體,6吋GaN"
功率半導體,2351,順德,功率元件,"功率二極體,橋式整流器"
功率半導體,2441,超豐,封測,"功率半導體封測,車用功率封裝"
功率半導體,2481,強茂,功率元件,"整流二極體龍頭,肖特基二極體,車用/工業級"
功率半導體,3016,嘉晶,晶圓,"SiC碳化矽晶圓,矽磊晶片,6吋SiC基板"
功率半導體,3317,尼克森,功率元件,"MOSFET,電源管理,車用功率"
功率半導體,3653,健策,設備,"功率半導體設備,SiC設備"
功率半導體,3675,德微,IC設計,"電源管理IC,DC-DC轉換器"
功率半導體,3686,達能,功率元件,功率元件封裝
功率半導體,3707,漢磊,晶圓代工,"功率IC晶圓代工,IGBT/MOSFET,8吋廠"
功率半導體,5222,全訊,IC設計,軍用無線通訊IC
功率半導體,5285,界霖,IC設計,"LED驅動IC,電源管理"
功率半導體,5299,杰力,IC設計,"電源管理IC,MCU"
功率半導體,5347,世界,晶圓,"再生晶圓,拋光晶圓"
功率半導體,5425,台半,功率元件,"二極體/MOSFET,車用功率元件,TVS保護元件"
功率半導體,6138,茂達,IC設計,"電源管理IC,LED驅動IC,馬達驅動IC"
功率半導體,6435,大中,功率元件,MOSFET功率元件
功率半導體,6525,捷敏-KY,IC設計,"類比IC,電源管理IC"
功率半導體,6573,虹揚-KY,IC設計,"MOSFET驅動IC,電源管理"
功率半導體,6719,力智,IC設計,"AC-DC電源管理IC,充電器IC,快充晶片"
功率半導體,8028,昇陽半導體,IDM,"功率半導體IDM,MOSFET/IGBT自有品牌,車用/工業"
功率半導體,8255,朋程,材料,"陶瓷基板,散熱基板,功率模組基板"
功率半導體,8261,富鼎,封測,功率半導體封測
次世代半導體GaNSiC,1560,中砂,材料,"高純石英,CoWoS用石英基板,半導體石英耗材"
次世代半導體GaNSiC,2330,台積電,晶圓代工,"全球晶圓代工龍頭,先進製程3/5/7nm,CoWoS/SoIC先進封裝領導者,AI晶片主力"
次世代半導體GaNSiC,2340,台亞,材料,"藍寶石基板,LED基板,GaN磊晶基板"
次世代半導體GaNSiC,2342,茂矽,晶圓代工,"功率半導體晶圓代工,化合物半導體,6吋GaN"
次世代半導體GaNSiC,2455,全新,材料,"環保廢棄物,資源回收"
次世代半導體GaNSiC,3016,嘉晶,晶圓,"SiC碳化矽晶圓,矽磊晶片,6吋SiC基板"
次世代半導體GaNSiC,3105,穩懋,晶圓代工,"GaAs砷化鎵晶圓代工龍頭,PA功率放大器,5G/衛星RF"
次世代半導體GaNSiC,3374,精材,材料,"軟硬結合板,高頻材料,CoWoS基板材料"
次世代半導體GaNSiC,3576,聯合再生,材料,太陽能矽晶圓
次世代半導體GaNSiC,3707,漢磊,晶圓代工,"功率IC晶圓代工,IGBT/MOSFET,8吋廠"
次世代半導體GaNSiC,3714,富采,LED,"LED晶片,Mini/Micro LED,車用照明,顯示背光"
次世代半導體GaNSiC,4934,太極,材料,"藍寶石基板,光學元件"
次世代半導體GaNSiC,4971,IET-KY,設備,化合物半導體設備
次世代半導體GaNSiC,4991,環宇-KY,設備,半導體設備代理
次世代半導體GaNSiC,5347,世界,晶圓,"再生晶圓,拋光晶圓"
次世代半導體GaNSiC,5483,中美晶,材料,"太陽能矽晶圓,長晶技術,SiC基板開發"
次世代半導體GaNSiC,6488,環球晶,材料,"矽晶圓龍頭,12吋矽晶圓,SiC碳化矽基板布局"
次世代半導體GaNSiC,8086,宏捷科,IC設計,"GaN氮化鎵功率放大器,5G基站PA,衛星通訊"
智慧駕駛ADASV2X,1521,大億,汽車零組件,"汽車鋁圈,輕量化零組件"
智慧駕駛ADASV2X,1533,車王電,汽車電子,"車用電子,ECU控制器,TPMS胎壓偵測"
智慧駕駛ADASV2X,2204,中華,汽車,"中華汽車,三菱汽車台灣總代理"
智慧駕駛ADASV2X,2228,劍麟,汽車零組件,汽車板金零組件
智慧駕駛ADASV2X,2231,為升,濾材,"車用空氣濾網,HEPA濾網"
智慧駕駛ADASV2X,2301,光寶科,電源,"電源供應器,散熱風扇,AI伺服器電源"
智慧駕駛ADASV2X,2308,台達電,電源,"電源/散熱方案龍頭,AI伺服器電源供應,資料中心基礎設施"
