代號,名稱,領域
8054,安國,特殊應用積體電路(ASIC)
3131,弘塑,先進封裝(CoWoS/3DIC)
3374,精材,先進封裝(CoWoS/3DIC)
3455,由田,先進封裝(CoWoS/3DIC)
3680,家登,先進封裝(CoWoS/3DIC)
5443,均豪,先進封裝(CoWoS/3DIC)
6187,萬潤,先進封裝(CoWoS/3DIC)
6207,雷科,先進封裝(CoWoS/3DIC)
6223,旺矽,先進封裝(CoWoS/3DIC)
6640,均華,先進封裝(CoWoS/3DIC)
6664,群翊,先進封裝(CoWoS/3DIC)
8027,鈦昇,先進封裝(CoWoS/3DIC)
1815,富喬,AI伺服器與資料中心
3081,聯亞,AI伺服器與資料中心
3163,波若威,AI伺服器與資料中心
3211,順達,AI伺服器與資料中心
3324,雙鴻,AI伺服器與資料中心
3363,上詮,AI伺服器與資料中心
3625,西勝,AI伺服器與資料中心
4931,新盛力,AI伺服器與資料中心
5309,系統電,AI伺服器與資料中心
6121,新普,AI伺服器與資料中心
6274,台燿,AI伺服器與資料中心
6584,南俊國際,AI伺服器與資料中心
3317,尼克森,功率半導體
3675,德微,功率半導體
3707,漢磊,功率半導體
5299,杰力,功率半導體
5347,世界,功率半導體
5425,台半,功率半導體
6138,茂達,功率半導體
6435,大中,功率半導體
8255,朋程,功率半導體
3105,穩懋,次世代半導體(GaN/SiC)
3374,精材,次世代半導體(GaN/SiC)
3707,漢磊,次世代半導體(GaN/SiC)
4971,IET-KY,次世代半導體(GaN/SiC)
4991,環宇-KY,次世代半導體(GaN/SiC)
5347,世界,次世代半導體(GaN/SiC)
5483,中美晶,次世代半導體(GaN/SiC)
6488,環球晶,次世代半導體(GaN/SiC)
8086,宏捷科,次世代半導體(GaN/SiC)
3105,穩懋,智慧駕駛(ADAS/V2X)
3169,亞信,智慧駕駛(ADAS/V2X)
3213,茂訊,智慧駕駛(ADAS/V2X)
3221,台嘉碩,智慧駕駛(ADAS/V2X)
3227,原相,智慧駕駛(ADAS/V2X)
3264,欣銓,智慧駕駛(ADAS/V2X)
3289,宜特,智慧駕駛(ADAS/V2X)
3306,鼎天,智慧駕駛(ADAS/V2X)
3499,環天科,智慧駕駛(ADAS/V2X)
3552,同致,智慧駕駛(ADAS/V2X)
3693,營邦,智慧駕駛(ADAS/V2X)
4523,永彰,智慧駕駛(ADAS/V2X)
4971,IET-KY,智慧駕駛(ADAS/V2X)
5230,雷笛克光學,智慧駕駛(ADAS/V2X)
5289,宜鼎,智慧駕駛(ADAS/V2X)
5351,鈺創,智慧駕駛(ADAS/V2X)
5425,台半,智慧駕駛(ADAS/V2X)
6129,普誠,智慧駕駛(ADAS/V2X)
6138,茂達,智慧駕駛(ADAS/V2X)
6233,旺玖,智慧駕駛(ADAS/V2X)
6263,普萊德,智慧駕駛(ADAS/V2X)
6290,良維,智慧駕駛(ADAS/V2X)
6411,晶焱,智慧駕駛(ADAS/V2X)
6465,威潤,智慧駕駛(ADAS/V2X)
6486,互動,智慧駕駛(ADAS/V2X)
8086,宏捷科,智慧駕駛(ADAS/V2X)
8255,朋程,智慧駕駛(ADAS/V2X)
9951,皇田,智慧駕駛(ADAS/V2X)
3564,其陽,國防產業
4541,晟田,國防產業
4971,IET-KY,國防產業
6245,立端,國防產業
6517,保勝光學,國防產業
8109,博大,國防產業
5371,中光電,機器人與智慧機械
6188,廣明,機器人與智慧機械
3324,雙鴻,量子電腦
8358,金居,記憶體產業鏈/熱門股
3260,威剛,記憶體產業鏈/熱門股
8299,群聯,記憶體產業鏈/熱門股
3217,優群,記憶體產業鏈/熱門股
4973,廣穎,記憶體產業鏈/熱門股
8088,品安,記憶體產業鏈/熱門股
5498,凱威,記憶體產業鏈/熱門股
